fetch_time,price_date,rbob_close
2025-04-14,4/14/25,2.0222
2025-04-15,4/15/25,2.0244
2025-04-16,4/16/25,2.0434
2025-04-17,4/17/25,2.0988
2025-04-21,4/21/25,2.0653
2025-04-22,4/22/25,2.0996
2025-04-23,4/23/25,2.0839
2025-04-24,4/24/25,2.1057
2025-04-25,4/25/25,2.1189
2025-04-28,4/28/25,2.1058
2025-04-29,4/29/25,2.0712
2025-04-30,4/30/25,2.037
2025-05-01,5/1/25,2.0492
2025-05-02,5/2/25,2.0199
2025-05-05,5/5/25,2.0228
2025-05-06,5/6/25,2.0645
2025-05-07,5/7/25,2.0278
2025-05-08,5/8/25,2.0854
2025-05-09,5/9/25,2.1084
2025-05-12,5/12/25,2.1331
2025-05-13,5/13/25,2.166
2025-05-14,5/14/25,2.17
2025-05-15,5/15/25,2.1344
2025-05-16,5/16/25,2.1418
2025-05-19,5/19/25,2.1388
2025-05-20,5/20/25,2.1521
2025-05-21,5/21/25,2.1498
2025-05-22,5/22/25,2.1312
2025-05-23,5/23/25,2.1092
2025-05-27,5/27/25,2.0715
2025-05-28,5/28/25,2.0892
2025-05-29,5/29/25,2.0594
2025-05-30,5/30/25,2.0384
2025-06-02,6/2/25,2.0525
2025-06-03,6/3/25,2.0788
2025-06-04,6/4/25,2.034
2025-06-05,6/5/25,2.0629
2025-06-06,6/6/25,2.0768
2025-06-09,6/9/25,2.0952
2025-06-10,6/10/25,2.088
2025-06-11,6/11/25,2.1668
2025-06-12,6/12/25,2.1429
2025-06-13,6/13/25,2.2276
2025-06-16,6/16/25,2.2199
2025-06-17,6/17/25,2.2719
2025-06-18,6/18/25,2.3086
2025-06-20,6/20/25,2.3295
2025-06-23,6/23/25,2.2182
2025-06-24,6/24/25,2.0857
2025-06-25,6/25/25,2.0824
2025-06-26,6/26/25,2.099
2025-06-27,6/27/25,2.0898
2025-06-30,6/30/25,2.0798
2025-07-01,7/1/25,2.1003
2025-07-02,7/2/25,2.1229
2025-07-03,7/3/25,2.1186
2025-07-04,7/4/25,2.1171
2025-07-07,7/7/25,2.1522
2025-07-08,7/8/25,2.185
2025-07-09,7/9/25,2.1879
2025-07-10,7/10/25,2.1524
2025-07-11,7/11/25,2.187
2025-07-14,7/14/25,2.1654
2025-07-15,7/15/25,2.1696
2025-07-16,7/16/25,2.144
2025-07-17,7/17/25,2.1704
2025-07-18,7/18/25,2.1534
2025-07-21,7/21/25,2.1319
2025-07-22,7/22/25,2.1019
2025-07-23,7/23/25,2.1213
2025-07-24,7/24/25,2.1042
2025-07-25,7/25/25,2.097
2025-07-28,7/28/25,2.1352
2025-07-29,7/29/25,2.2184
2025-07-30,7/30/25,2.2691
2025-07-31,7/31/25,2.2156
2025-08-01,8/1/25,2.1186
2025-08-04,8/4/25,2.1022
2025-08-05,8/5/25,2.0915
2025-08-06,8/6/25,2.0904
2025-08-07,8/7/25,2.0775
2025-08-08,8/8/25,2.0861
2025-08-11,8/11/25,2.0766
2025-08-12,8/12/25,2.0744
2025-08-13,8/13/25,2.0704
2025-08-14,8/14/25,2.1092
2025-08-15,8/15/25,2.0725
2025-08-18,8/18/25,2.0987
2025-08-19,8/19/25,2.089
2025-08-20,8/20/25,2.1283
2025-08-21,8/21/25,2.1597
2025-08-22,8/22/25,2.1585
2025-08-25,8/25/25,2.1483
2025-08-26,8/26/25,2.1223
2025-08-27,8/27/25,2.1489
2025-08-28,8/28/25,2.1991
2025-08-29,8/29/25,2.1876
2025-09-02,9/2/25,2.0428
2025-09-03,9/3/25,2.012
2025-09-04,9/4/25,2.0095
2025-09-05,9/5/25,1.9642
2025-09-08,9/8/25,1.9586
2025-09-09,9/9/25,1.9925
2025-09-10,9/10/25,2.008
2025-09-11,9/11/25,1.9793
2025-09-12,9/12/25,1.9854
2025-09-15,9/15/25,2.0134
2025-09-16,9/16/25,2.0416
2025-09-17,9/17/25,2.0287
2025-09-18,9/18/25,2.0114
2025-09-19,9/19/25,1.9707
2025-09-22,9/22/25,1.9782
2025-09-23,9/23/25,1.9991
2025-09-24,9/24/25,2.0188
2025-09-25,9/25/25,2.0022
2025-09-26,9/26/25,2.0376
2025-09-29,9/29/25,1.9951
2025-09-30,9/30/25,1.9729
2025-10-01,10/1/25,1.8859
2025-10-02,10/2/25,1.851
2025-10-03,10/3/25,1.8605
2025-10-06,10/6/25,1.9016
2025-10-07,10/7/25,1.8939
2025-10-08,10/8/25,1.9095
2025-10-09,10/9/25,1.8826
2025-10-10,10/10/25,1.8204
2025-10-13,10/13/25,1.8438
2025-10-14,10/14/25,1.8286
2025-10-15,10/15/25,1.8344
2025-10-16,10/16/25,1.8117
2025-10-17,10/17/25,1.8377
2025-10-20,10/20/25,1.8302
2025-10-21,10/21/25,1.8253
2025-10-22,10/22/25,1.865
2025-10-23,10/23/25,1.9269
2025-10-24,10/24/25,1.9227
2025-10-27,10/27/25,1.9204
2025-10-28,10/28/25,1.9252
2025-10-29,10/29/25,1.9737
2025-10-30,10/30/25,2.0034
2025-10-31,10/31/25,1.9931
2025-11-03,11/3/25,1.9161
2025-11-04,11/4/25,1.9228
2025-11-05,11/5/25,1.9093
2025-11-06,11/6/25,1.9656
2025-11-07,11/7/25,1.9403
