fetch_time,price_date,current,yesterday,week_ago,month_ago,year_ago
2026-03-23 06:59:44,3/23/26,$3.956,$3.942,$3.718,$2.938,$3.126
2026-03-24 11:37:00,3/24/26,$3.977,$3.956,$3.790,$2.951,$3.128
2026-03-24 11:54:42,3/17/26,$3.790,,,,
2026-03-24 11:54:42,2/24/26,$2.951,,,,
2026-03-24 11:54:42,3/24/25,$3.128,,,,
2026-03-25 14:44:37,3/18/26,$3.842,,,,
2026-03-25 14:44:37,2/25/26,$2.975,,,,
2026-03-25 14:44:37,3/25/25,$3.139,,,,
2026-03-25 14:44:37,3/25/26,$3.983,$3.977,$3.842,$2.975,$3.139
2026-03-26 14:51:49,3/19/26,$3.884,,,,
2026-03-26 14:51:49,2/26/26,$2.983,,,,
2026-03-26 14:51:49,3/26/25,$3.150,,,,
2026-03-26 14:51:49,3/26/26,$3.981,$3.983,$3.884,$2.983,$3.150
2026-03-31 14:49:45,3/30/26,$3.990,,,,
2026-03-31 14:49:45,2/28/26,$2.982,,,,
2026-03-31 14:49:45,3/31/25,$3.168,,,,
2026-03-31 14:49:45,3/31/26,$4.018,$3.990,$3.977,$2.982,$3.168
2026-04-01 11:12:39,3/1/26,$2.984,,,,
2026-04-01 11:12:39,4/1/25,$3.201,,,,
2026-04-01 11:12:39,4/1/26,$4.064,$4.018,$3.983,$2.984,$3.201
