date,national_avg_regular
2021-04-29,2.897
2021-04-30,2.900
2021-05-01,2.899
2021-05-02,2.892
2021-05-04,2.921
2021-05-05,2.945
2021-05-06,2.956
2021-05-07,2.964
2021-05-08,2.965
2021-05-09,2.954
2021-05-11,3.000
2021-05-12,3.011
2021-05-13,3.037
2021-05-14,3.039
2021-05-15,3.042
2021-05-16,3.035
2021-05-18,3.047
2021-05-19,3.042
2021-05-20,3.043
2021-05-21,3.040
2021-05-22,3.039
2021-05-23,3.029
2021-05-24,3.036
2021-05-26,3.042
2021-05-27,3.042
2021-05-28,3.050
2021-05-29,3.046
2021-05-30,3.040
2021-06-01,3.046
2021-06-02,3.048
2021-06-03,3.047
2021-06-04,3.052
2021-06-05,3.053
2021-06-06,3.048
2021-06-08,3.073
2021-06-09,3.080
2021-06-10,3.088
2021-06-11,3.082
2021-06-12,3.082
2021-06-13,3.076
2021-06-15,3.081
2021-06-16,3.081
2021-06-17,3.076
2021-06-18,3.067
2021-06-19,3.062
2021-06-20,3.059
2021-06-22,3.076
2021-06-23,3.081
2021-06-24,3.089
2021-06-25,3.088
2021-06-26,3.096
2021-06-27,3.096
2021-06-29,3.127
2021-06-30,3.128
2021-07-01,3.125
2021-07-03,3.128
2021-07-04,3.118
2021-07-06,3.140
2021-07-07,3.147
2021-07-08,3.152
2021-07-09,3.148
2021-07-10,3.145
2021-07-11,3.135
2021-07-13,3.144
2021-07-14,3.157
2021-07-15,3.172
2021-07-16,3.172
2021-07-17,3.169
2021-07-18,3.163
2021-07-20,3.170
2021-07-21,3.160
2021-07-22,3.157
2021-07-23,3.144
2021-07-24,3.152
2021-07-25,3.143
2021-07-27,3.157
2021-07-28,3.163
2021-07-29,3.166
2021-07-30,3.157
2021-07-31,3.169
2021-08-01,3.161
2021-08-02,3.177
2021-08-04,3.193
2021-08-05,3.195
2021-08-06,3.184
2021-08-07,3.191
2021-08-08,3.183
2021-08-10,3.189
2021-08-11,3.187
2021-08-12,3.183
2021-08-13,3.185
2021-08-14,3.179
2021-08-15,3.172
2021-08-17,3.178
2021-08-18,3.178
2021-08-19,3.168
2021-08-20,3.163
2021-08-21,3.161
2021-08-22,3.146
2021-08-24,3.147
2021-08-25,3.137
2021-08-26,3.142
2021-08-27,3.141
2021-08-28,3.141
2021-08-29,3.129
2021-08-31,3.179
2021-09-01,3.177
2021-09-02,3.184
2021-09-03,3.181
2021-09-04,3.183
2021-09-05,3.181
2021-09-06,3.175
2021-09-08,3.175
2021-09-09,3.178
2021-09-10,3.175
2021-09-11,3.176
2021-09-12,3.156
2021-09-14,3.181
2021-09-15,3.190
2021-09-16,3.189
2021-09-17,3.188
2021-09-18,3.190
2021-09-19,3.182
2021-09-21,3.191
2021-09-22,3.185
2021-09-23,3.183
2021-09-24,3.178
2021-09-25,3.191
2021-09-26,3.179
2021-09-28,3.178
2021-09-29,3.183
2021-09-30,3.185
2021-10-02,3.194
2021-10-03,3.185
2021-10-05,3.214
2021-10-06,3.226
2021-10-07,3.249
2021-10-08,3.259
2021-10-09,3.262
2021-10-10,3.254
2021-10-11,3.272
2021-10-13,3.292
2021-10-14,3.305
2021-10-15,3.305
2021-10-16,3.303
2021-10-17,3.302
2021-10-19,3.340
2021-10-20,3.358
2021-10-21,3.362
2021-10-22,3.371
2021-10-23,3.379
2021-10-24,3.362
2021-10-26,3.386
2021-10-27,3.392
2021-10-28,3.391
2021-10-29,3.394
2021-10-30,3.390
2021-10-31,3.383
2021-11-02,3.396
2021-11-03,3.409
2021-11-06,3.417
2021-11-07,3.412
2021-11-09,3.428
2021-11-11,3.415
2021-11-13,3.418
2021-11-14,3.400
2021-11-16,3.422
2021-11-17,3.423
2021-11-18,3.413
2021-11-19,3.417
2021-11-20,3.414
2021-11-21,3.399
2021-11-23,3.417
2021-11-24,3.408
2021-11-25,3.385
2021-11-26,3.391
2021-11-27,3.397
2021-11-28,3.379
2021-11-30,3.397
2021-12-01,3.376
2021-12-02,3.382
2021-12-03,3.363
2021-12-04,3.366
2021-12-05,3.347
2021-12-07,3.360
2021-12-08,3.357
2021-12-09,3.349
2021-12-10,3.346
2021-12-11,3.342
2021-12-12,3.328
2021-12-14,3.329
2021-12-15,3.325
2021-12-16,3.320
2021-12-17,3.320
2021-12-18,3.312
2021-12-19,3.299
2021-12-21,3.305
2021-12-22,3.304
2021-12-23,3.289
2021-12-24,3.287
2021-12-25,3.264
2021-12-26,3.253
2021-12-27,3.283
2021-12-28,3.283
2021-12-30,3.281
2021-12-31,3.282
2022-01-01,3.262
2022-01-02,3.268
2022-01-03,3.288
2022-01-05,3.303
2022-01-06,3.318
2022-01-07,3.306
2022-01-08,3.303
2022-01-09,3.292
2022-01-11,3.313
2022-01-12,3.311
2022-01-13,3.310
2022-01-14,3.311
2022-01-15,3.308
2022-01-16,3.302
2022-01-18,3.318
2022-01-19,3.323
2022-01-20,3.329
2022-01-21,3.314
2022-01-22,3.333
2022-01-23,3.320
2022-01-25,3.345
2022-01-26,3.349
2022-01-27,3.361
2022-01-28,3.363
2022-01-29,3.361
2022-01-30,3.349
2022-02-01,3.400
2022-02-02,3.422
2022-02-03,3.449
2022-02-04,3.447
2022-02-05,3.436
2022-02-06,3.429
2022-02-08,3.467
2022-02-09,3.468
2022-02-10,3.480
2022-02-11,3.465
2022-02-12,3.482
2022-02-13,3.475
2022-02-15,3.508
2022-02-16,3.518
2022-02-17,3.517
2022-02-18,3.534
2022-02-19,3.533
2022-02-20,3.521
2022-02-21,3.520
2022-02-23,3.552
2022-02-24,3.574
2022-02-25,3.588
2022-02-26,3.599
2022-02-27,3.596
2022-03-01,3.639
2022-03-02,3.697
2022-03-03,3.766
2022-03-05,4.009
2022-03-06,4.061
2022-03-08,4.257
2022-03-09,4.320
2022-03-10,4.350
2022-03-11,4.337
2022-03-12,4.326
2022-03-13,4.325
2022-03-15,4.315
2022-03-17,4.289
2022-03-19,4.259
2022-03-20,4.235
2022-03-22,4.243
2022-03-23,4.237
2022-03-24,4.244
2022-03-26,4.252
2022-03-27,4.233
2022-03-29,4.247
2022-03-30,4.242
2022-03-31,4.222
2022-04-01,4.205
2022-04-02,4.190
2022-04-03,4.179
2022-04-05,4.165
2022-04-06,4.156
2022-04-07,4.145
2022-04-08,4.124
2022-04-09,4.119
2022-04-10,4.105
2022-04-12,4.093
2022-04-13,4.073
2022-04-14,4.069
2022-04-15,4.070
2022-04-16,4.077
2022-04-17,4.068
2022-04-19,4.105
2022-04-20,4.107
2022-04-21,4.118
2022-04-22,4.115
2022-04-23,4.124
2022-04-24,4.112
2022-04-26,4.138
2022-04-27,4.141
2022-04-28,4.153
2022-04-29,4.163
2022-04-30,4.179
2022-05-01,4.179
2022-05-03,4.225
2022-05-07,4.311
2022-05-10,4.395
2022-05-12,4.430
2022-05-13,4.445
2022-05-14,4.465
2022-05-15,4.468
2022-05-17,4.555
2022-05-19,4.603
2022-05-21,4.587
2022-05-22,4.578
2022-05-23,4.597
2022-05-25,4.599
2022-05-26,4.603
2022-05-28,4.608
2022-05-29,4.600
2022-05-31,4.665
2022-06-01,4.716
2022-06-02,4.767
2022-06-03,4.816
2022-06-04,4.844
2022-06-05,4.859
2022-06-07,4.957
2022-06-08,4.981
2022-06-09,4.985
2022-06-10,5.011
2022-06-11,5.013
2022-06-12,5.016
2022-06-14,5.027
2022-06-15,5.021
2022-06-16,5.016
2022-06-17,4.998
2022-06-18,4.988
2022-06-19,4.974
2022-06-21,4.966
2022-06-22,4.950
2022-06-23,4.942
2022-06-24,4.920
2022-06-25,4.903
2022-06-26,4.886
2022-06-28,4.880
2022-06-29,4.859
2022-06-30,4.853
2022-07-01,4.832
2022-07-02,4.813
2022-07-03,4.795
2022-07-05,4.788
2022-07-06,4.760
2022-07-07,4.734
2022-07-08,4.706
2022-07-09,4.685
2022-07-10,4.668
2022-07-12,4.642
2022-07-13,4.614
2022-07-14,4.579
2022-07-15,4.557
2022-07-16,4.527
2022-07-17,4.510
2022-07-19,4.472
2022-07-20,4.441
2022-07-21,4.421
2022-07-22,4.382
2022-07-23,4.359
2022-07-24,4.336
2022-07-26,4.306
2022-07-27,4.261
2022-07-28,4.236
2022-07-29,4.217
2022-07-30,4.196
2022-07-31,4.177
2022-08-01,4.172
2022-08-03,4.120
2022-08-04,4.095
2022-08-05,4.069
2022-08-06,4.046
2022-08-07,4.019
2022-08-09,3.991
2022-08-10,3.968
2022-08-11,3.959
2022-08-12,3.948
2022-08-13,3.934
2022-08-14,3.920
2022-08-16,3.918
2022-08-17,3.919
2022-08-18,3.908
2022-08-19,3.897
2022-08-20,3.882
2022-08-21,3.869
2022-08-23,3.866
2022-08-24,3.863
2022-08-25,3.857
2022-08-26,3.847
2022-08-27,3.831
2022-08-28,3.819
2022-08-30,3.828
2022-08-31,3.818
2022-09-01,3.806
2022-09-02,3.791
2022-09-03,3.779
2022-09-04,3.755
2022-09-05,3.751
2022-09-07,3.741
2022-09-08,3.724
2022-09-09,3.712
2022-09-10,3.696
2022-09-11,3.679
2022-09-13,3.695
2022-09-14,3.690
2022-09-15,3.681
2022-09-16,3.673
2022-09-17,3.661
2022-09-18,3.640
2022-09-20,3.669
2022-09-21,3.671
2022-09-22,3.660
2022-09-23,3.670
2022-09-24,3.672
2022-09-25,3.672
2022-09-27,3.707
2022-09-28,3.723
2022-09-29,3.733
2022-09-30,3.757
2022-10-01,3.761
2022-10-02,3.782
2022-10-04,3.825
2022-10-05,3.865
2022-10-06,3.903
2022-10-07,3.904
2022-10-08,3.928
2022-10-09,3.921
2022-10-10,3.943
2022-10-12,3.921
2022-10-13,3.926
2022-10-14,3.910
2022-10-15,3.881
2022-10-16,3.867
2022-10-18,3.868
2022-10-19,3.849
2022-10-20,3.827
2022-10-21,3.808
2022-10-22,3.787
2022-10-23,3.773
2022-10-25,3.768
2022-10-26,3.760
2022-10-27,3.758
2022-10-28,3.747
2022-10-29,3.739
2022-10-30,3.727
2022-11-01,3.754
2022-11-02,3.758
2022-11-03,3.777
2022-11-04,3.793
2022-11-05,3.792
2022-11-06,3.789
2022-11-08,3.812
2022-11-09,3.808
2022-11-10,3.813
2022-11-11,3.791
2022-11-12,3.783
2022-11-13,3.763
2022-11-15,3.739
2022-11-16,3.739
2022-11-17,3.722
2022-11-18,3.673
2022-11-19,3.670
2022-11-20,3.644
2022-11-22,3.599
2022-11-23,3.592
2022-11-24,3.557
2022-11-25,3.558
2022-11-26,3.552
2022-11-27,3.520
2022-11-29,3.480
2022-11-30,3.448
2022-12-01,3.422
2022-12-02,3.398
2022-12-03,3.381
2022-12-04,3.362
2022-12-06,3.331
2022-12-07,3.306
2022-12-08,3.284
2022-12-09,3.256
2022-12-10,3.234
2022-12-11,3.218
2022-12-13,3.187
2022-12-14,3.176
2022-12-15,3.149
2022-12-16,3.131
2022-12-17,3.118
2022-12-18,3.099
2022-12-20,3.075
2022-12-21,3.065
2022-12-22,3.072
2022-12-23,3.091
2022-12-24,3.064
2022-12-25,3.050
2022-12-26,3.061
2022-12-27,3.080
2022-12-29,3.138
2022-12-30,3.157
2022-12-31,3.192
2023-01-01,3.173
2023-01-02,3.189
2023-01-04,3.273
2023-01-05,3.264
2023-01-06,3.271
2023-01-07,3.279
2023-01-08,3.255
2023-01-10,3.266
2023-01-11,3.276
2023-01-12,3.256
2023-01-13,3.264
2023-01-14,3.268
2023-01-15,3.280
2023-01-17,3.322
2023-01-18,3.347
2023-01-19,3.380
2023-01-20,3.403
2023-01-21,3.409
2023-01-22,3.393
2023-01-24,3.456
2023-01-25,3.475
2023-01-26,3.482
2023-01-27,3.509
2023-01-28,3.502
2023-01-29,3.490
2023-01-31,3.489
2023-02-01,3.490
2023-02-02,3.468
2023-02-03,3.458
2023-02-04,3.450
2023-02-05,3.445
2023-02-07,3.448
2023-02-08,3.411
2023-02-09,3.398
2023-02-10,3.392
2023-02-11,3.407
2023-02-12,3.373
2023-02-14,3.383
2023-02-15,3.386
2023-02-16,3.391
2023-02-17,3.382
2023-02-18,3.377
2023-02-19,3.376
2023-02-20,3.362
2023-02-22,3.365
2023-02-23,3.351
2023-02-24,3.338
2023-02-25,3.325
2023-02-26,3.333
2023-02-28,3.320
2023-03-01,3.347
2023-03-02,3.358
2023-03-03,3.377
2023-03-04,3.373
2023-03-05,3.368
2023-03-07,3.411
2023-03-08,3.441
2023-03-09,3.450
2023-03-10,3.448
2023-03-11,3.448
2023-03-12,3.448
2023-03-14,3.443
2023-03-15,3.446
2023-03-16,3.437
2023-03-17,3.433
2023-03-18,3.431
2023-03-19,3.405
2023-03-21,3.409
2023-03-22,3.414
2023-03-23,3.423
2023-03-24,3.417
2023-03-25,3.424
2023-03-26,3.403
2023-03-28,3.442
2023-03-29,3.459
2023-03-30,3.499
2023-03-31,3.487
2023-04-01,3.501
2023-04-02,3.490
2023-04-04,3.508
2023-04-05,3.534
2023-04-06,3.558
2023-04-07,3.583
2023-04-08,3.583
2023-04-09,3.578
2023-04-11,3.608
2023-04-12,3.630
2023-04-13,3.651
2023-04-14,3.652
2023-04-15,3.661
2023-04-16,3.654
2023-04-18,3.662
2023-04-19,3.673
2023-04-20,3.687
2023-04-21,3.663
2023-04-22,3.660
2023-04-23,3.646
2023-04-25,3.636
2023-04-26,3.628
2023-04-27,3.613
2023-04-28,3.602
2023-04-29,3.586
2023-04-30,3.582
2023-05-02,3.571
2023-05-03,3.570
2023-05-04,3.554
2023-05-05,3.531
2023-05-06,3.509
2023-05-07,3.508
2023-05-09,3.502
2023-05-10,3.515
2023-05-11,3.520
2023-05-12,3.512
2023-05-13,3.527
2023-05-14,3.512
2023-05-16,3.508
2023-05-17,3.519
2023-05-18,3.524
2023-05-19,3.528
2023-05-20,3.531
2023-05-21,3.513
2023-05-22,3.523
2023-05-23,3.544
2023-05-25,3.560
2023-05-26,3.558
2023-05-27,3.554
2023-05-28,3.553
2023-05-30,3.554
2023-05-31,3.563
2023-06-01,3.548
2023-06-02,3.540
2023-06-03,3.522
2023-06-04,3.514
2023-06-06,3.527
2023-06-07,3.536
2023-06-08,3.558
2023-06-09,3.570
2023-06-10,3.585
2023-06-11,3.569
2023-06-13,3.574
2023-06-14,3.577
2023-06-15,3.568
2023-06-16,3.559
2023-06-17,3.551
2023-06-18,3.546
2023-06-20,3.557
2023-06-21,3.564
2023-06-22,3.580
2023-06-23,3.571
2023-06-24,3.560
2023-06-25,3.544
2023-06-27,3.547
2023-06-28,3.529
2023-06-29,3.517
2023-06-30,3.507
2023-07-01,3.520
2023-07-02,3.503
2023-07-03,3.502
2023-07-04,3.464
2023-07-05,3.489
2023-07-06,3.511
2023-07-07,3.518
2023-07-08,3.521
2023-07-09,3.501
2023-07-11,3.519
2023-07-12,3.519
2023-07-13,3.533
2023-07-14,3.533
2023-07-15,3.549
2023-07-16,3.535
2023-07-18,3.551
2023-07-19,3.549
2023-07-20,3.552
2023-07-21,3.564
2023-07-22,3.571
2023-07-23,3.556
2023-07-25,3.641
2023-07-26,3.677
2023-07-27,3.695
2023-07-28,3.726
2023-07-29,3.731
2023-07-30,3.721
2023-08-01,3.770
2023-08-02,3.799
2023-08-03,3.820
2023-08-04,3.819
2023-08-05,3.816
2023-08-06,3.799
2023-08-07,3.818
2023-08-08,3.799
2023-08-09,3.819
2023-08-11,3.823
2023-08-12,3.837
2023-08-13,3.824
2023-08-15,3.856
2023-08-16,3.853
2023-08-17,3.851
2023-08-18,3.849
2023-08-19,3.848
2023-08-20,3.824
2023-08-22,3.840
2023-08-23,3.827
2023-08-24,3.806
2023-08-25,3.795
2023-08-26,3.800
2023-08-27,3.784
2023-08-29,3.803
2023-08-30,3.813
2023-08-31,3.796
2023-09-01,3.791
2023-09-02,3.801
2023-09-03,3.777
2023-09-04,3.772
2023-09-06,3.784
2023-09-07,3.798
2023-09-08,3.808
2023-09-09,3.809
2023-09-10,3.793
2023-09-12,3.826
2023-09-13,3.835
2023-09-14,3.841
2023-09-15,3.851
2023-09-16,3.857
2023-09-17,3.839
2023-09-19,3.846
2023-09-20,3.845
2023-09-21,3.835
2023-09-22,3.846
2023-09-23,3.838
2023-09-24,3.808
2023-09-26,3.810
2023-09-27,3.823
2023-09-28,3.816
2023-09-29,3.811
2023-09-30,3.817
2023-10-01,3.773
2023-10-02,3.777
2023-10-04,3.753
2023-10-05,3.724
2023-10-06,3.711
2023-10-07,3.694
2023-10-08,3.670
2023-10-09,3.663
2023-10-11,3.637
2023-10-12,3.619
2023-10-13,3.585
2023-10-14,3.583
2023-10-15,3.557
2023-10-17,3.566
2023-10-18,3.546
2023-10-19,3.542
2023-10-20,3.534
2023-10-21,3.529
2023-10-22,3.506
2023-10-24,3.522
2023-10-25,3.511
2023-10-26,3.503
2023-10-27,3.477
2023-10-28,3.477
2023-10-29,3.453
2023-10-31,3.429
2023-11-01,3.435
2023-11-02,3.425
2023-11-03,3.403
2023-11-04,3.402
2023-11-05,3.383
2023-11-07,3.399
2023-11-08,3.405
2023-11-09,3.395
2023-11-10,3.381
2023-11-11,3.353
2023-11-12,3.337
2023-11-13,3.336
2023-11-15,3.332
2023-11-16,3.321
2023-11-17,3.306
2023-11-18,3.300
2023-11-19,3.275
2023-11-21,3.283
2023-11-22,3.254
2023-11-23,3.222
2023-11-24,3.248
2023-11-25,3.247
2023-11-26,3.216
2023-11-28,3.233
2023-11-29,3.225
2023-11-30,3.245
2023-12-01,3.251
2023-12-02,3.237
2023-12-03,3.213
2023-12-05,3.204
2023-12-06,3.190
2023-12-07,3.191
2023-12-08,3.157
2023-12-09,3.150
2023-12-10,3.116
2023-12-12,3.110
2023-12-13,3.089
2023-12-14,3.085
2023-12-15,3.055
2023-12-16,3.052
2023-12-17,3.031
2023-12-19,3.061
2023-12-20,3.091
2023-12-21,3.118
2023-12-22,3.111
2023-12-23,3.104
2023-12-24,3.102
2023-12-25,3.078
2023-12-26,3.114
2023-12-28,3.122
2023-12-29,3.119
2023-12-30,3.100
2023-12-31,3.073
2024-01-01,3.062
2024-01-03,3.084
2024-01-04,3.086
2024-01-05,3.081
2024-01-06,3.067
2024-01-07,3.035
2024-01-09,3.090
2024-01-10,3.077
2024-01-11,3.075
2024-01-12,3.076
2024-01-13,3.059
2024-01-14,3.041
2024-01-16,3.105
2024-01-17,3.103
2024-01-18,3.097
2024-01-19,3.093
2024-01-20,3.074
2024-01-21,3.033
2024-01-23,3.105
2024-01-24,3.110
2024-01-25,3.091
2024-01-26,3.108
2024-01-27,3.101
2024-01-28,3.078
2024-01-30,3.132
2024-01-31,3.156
2024-02-01,3.141
2024-02-02,3.153
2024-02-03,3.151
2024-02-04,3.121
2024-02-06,3.128
2024-02-07,3.149
2024-02-08,3.174
2024-02-09,3.192
2024-02-10,3.192
2024-02-11,3.173
2024-02-13,3.272
2024-02-14,3.291
2024-02-15,3.301
